# POINTING	RA	DEC
XMMLSS32k_6_7	34.204577317291694	-5.277992
XMMLSS32k_6_8	33.944790323585565	-4.832992
XMMLSS32k_6_9	34.20085208353053	-4.387992
XMMLSS32k_6_9p5	33.9447903236	-4.1
XMMLSS32k_7_4	34.47011459351855	-6.612992
XMMLSS32k_7_5	34.72583274072465	-6.167992
XMMLSS32k_7_6	34.46490870454458	-5.722992
XMMLSS32k_7_7	34.72060696820864	-5.277992
XMMLSS32k_7_9	34.716204419218165	-4.387992
XMMLSS32k_8_4	34.98739798623023	-6.612992
XMMLSS32k_8_5	35.24266635664406	-6.167992
XMMLSS32k_8_6	34.981324449093925	-5.722992
XMMLSS32k_8_7	35.23663661912558	-5.277992
XMMLSS32k_8_8	34.97614075812039	-4.832992
XMMLSS32k_8_9	35.2315567549058	-4.387992
XMMLSS32k_9_4	35.5046813789419	-6.612992
XMMLSS32k_9_5	35.75949997256346	-6.167992
XMMLSS32k_9_6	35.49774019364327	-5.722992
XMMLSS32k_9_7	35.752666270042525	-5.277992
XMMLSS32k_9_8	35.4918159753878	-4.832992
XMMLSS32k_9_9	35.74690909059344	-4.387992
XMMLSS32k_10_4	36.02196477165358	-6.612992
XMMLSS32k_10_5	36.27633358848287	-6.167992
XMMLSS32k_10_6	36.014155938192616	-5.722992
XMMLSS32k_10_7	36.26869592095947	-5.277992
XMMLSS32k_10_8	36.00749119265521	-4.832992
XMMLSS32k_10_9	36.262261426281086	-4.387992
XMMLSS32k_11_4	36.539248164365254	-6.612992
XMMLSS32k_11_6	36.530571682741964	-5.722992
XMMLSS32k_11_7	36.784725571876415	-5.277992
XMMLSS32k_11_8	36.523166409922624	-4.832992
XMMLSS32k_11_9	36.77761376196872	-4.387992
XMMLSS32k_12_8	37.03884162719004	-4.832992
XMMLSS32k_12_9p5	37.0388416272	-4.1
XMMLSS_12	34.4625	-4.83306
CDFS32k_4_6	51.68161017465124	-28.5775
CDFS32k_4_8	51.66467115837529	-27.6875
CDFS32k_5_5	51.98418872044233	-29.0225
CDFS32k_5_6	52.26673744962341	-28.5775
CDFS32k_5_7	51.96438387919694	-28.1325
CDFS32k_5_8	52.244958714411474	-27.6875
CDFS32k_5_9	51.94546312545686	-27.2425
CDFS32k_6_5	52.57181972249076	-29.0225
CDFS32k_6_6	52.851864724595586	-28.5775
CDFS32k_6_7	52.547063670934016	-28.1325
CDFS32k_6_8	52.825246270447664	-27.6875
CDFS32k_6_9	52.52341272875892	-27.2425
CDFS32k_7_4	53.469912725986795	-29.4675
CDFS32k_7_5	53.159450724539184	-29.0225
CDFS32k_7_6	53.436991999567766	-28.5775
CDFS32k_7_8	53.405533826483854	-27.6875
CDFS32k_7_9	53.10136233206097	-27.2425
CDFS32k_7_10	53.375487209995846	-26.7975
CDFS32k_8_4	54.06010472810036	-29.4675
CDFS32k_8_5	53.74708172658761	-29.0225
CDFS32k_8_6	54.02211927453994	-28.5775
CDFS32k_8_7	53.712423254408165	-28.1325
CDFS32k_8_8	53.985821382520044	-27.6875
CDFS32k_8_9	53.67931193536303	-27.2425
CDFS32k_8_10	53.95115220964926	-26.7975
CDFS32k_8_11	53.64769459846163	-26.3525
CDFS32k_9_5	54.334712728636035	-29.0225
CDFS32k_9_6	54.60724654951211	-28.5775
CDFS32k_9_7	54.29510304614524	-28.1325
CDFS32k_9_8	54.56610893855623	-27.6875
CDFS32k_9_9	54.25726153866509	-27.2425
CDFS32k_9_10	54.52681720930268	-26.7975
CDFS32k_9_11	54.221127439349196	-26.3525
ELAIS32k_2_5	8.727171581448731	-43.9980555556
ELAIS32k_3_4	9.095160619679588	-44.4430555556
ELAIS32k_3_5	9.441472250320563	-43.9980555556
ELAIS32k_3_6	9.07373011616601	-43.5530555556
ELAIS32k_4_4	9.81488064044889	-44.4430555556
ELAIS32k_4_5	10.155772919192394	-43.9980555556
ELAIS32k_4_6	9.782734885178524	-43.5530555556
COSMOS_1	149.94228	2.02906
COSMOS_2	149.94224	2.38261
COSMOS_3	150.29605	2.02906
COSMOS_4	150.2961	2.38261
COSMOS_5	149.76535	2.20583
COSMOS_6	150.47298	2.20583
COSMOS_7	150.11917	1.85228
COSMOS_8	150.11917	2.55939
COSMOS_9	150.47307	2.55939
COSMOS_10	149.76526	2.55939
COSMOS_11	149.58838	2.38261
COSMOS_12	149.5885	2.02906
COSMOS_13	149.76543	1.85228
COSMOS_14	150.4729	1.85228
